SNo,ObservationDate,Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
4494,03/09/2020,"Spokane County, WA",US,2020-03-08T21:53:04,1,0,0
4495,03/09/2020,"St. Louis County, MO",US,2020-03-08T11:23:08,1,0,0
4496,03/09/2020,"Suffolk County, NY",US,2020-03-08T16:03:05,1,0,0
4497,03/09/2020,"Tulsa County, OK",US,2020-03-07T04:43:02,1,0,0
4498,03/09/2020,"Ulster County, NY",US,2020-03-08T16:23:07,1,0,0
4499,03/09/2020,"Umatilla, OR",US,2020-03-02T20:23:16,1,0,0
4500,03/09/2020,"Unknown Location, MA",US,2020-03-08T21:23:03,1,0,0
4501,03/09/2020,"Volusia County, FL",US,2020-03-08T03:03:08,1,0,0
4502,03/09/2020,"Wake County, NC",US,2020-03-03T20:53:02,1,0,0
4503,03/09/2020,"Wayne County, PA",US,2020-03-06T16:13:15,1,0,0
4504,03/09/2020,"Williamson County, TN",US,2020-03-05T23:33:03,1,0,0
4505,03/09/2020,"Yolo County, CA",US,2020-03-06T20:13:14,1,0,0
4506,03/09/2020,Ukraine,Ukraine,2020-03-03T15:33:02,1,0,0
4507,03/09/2020,Vatican City,Vatican City,2020-03-06T15:43:02,1,0,0
4508,03/09/2020,From Diamond Princess,Australia,2020-02-29T02:03:10,0,0,0
4509,03/09/2020,Northern Territory,Australia,2020-03-06T04:33:03,0,0,0
4510,03/09/2020,"Lackland, TX (From Diamond Princess)",US,2020-02-24T23:33:02,0,0,0
4511,03/09/2020,"Montgomery County, TX",US,2020-03-07T19:53:02,0,0,0
4512,03/09/2020,"Omaha, NE (From Diamond Princess)",US,2020-02-24T23:33:02,0,0,0
4513,03/09/2020,"Travis, CA (From Diamond Princess)",US,2020-02-24T23:33:02,0,0,0
